,Country,Position 2019,Position 2020,Position 2021
0,Turkmenistan,180,179,178
1,North Korea,179,180,179
2,Eritrea,178,178,180
3,China,177,177,177
4,Vietnam,176,175,175
5,Sudan,175,159,159
6,Syria,174,174,173
7,Djibouti,173,176,176
8,Saudi Arabia,172,170,170
9,Laos,171,172,172
10,Iran,170,173,174
11,Cuba,169,171,171
12,Yemen,168,167,169
13,Bahrain,167,169,168
14,Azerbaijan,166,168,167
15,Equatorial Guinea,165,165,164
16,Somalia,164,163,161
17,Egypt,163,166,166
18,Libya,162,164,165
19,Tajikistan,161,161,162
20,Uzbekistan,160,156,157
21,Burundi,159,160,147
22,Kazakhstan,158,157,155
23,Turkey,157,154,153
24,Iraq,156,162,163
